id;value;jhi_system;parsed;period_start;period_end;outcome;disposition;payment_amount;payment_identifier
1;Ergonomic bandwidth Valley;Manager Shirt back-end;Accounts Handmade;2021-05-20T19:31:51;2021-05-21T01:02:27;distributed redefine Frozen;Cotton Malagasy;5810;interface
2;Indiana;Corporate Port;info-mediaries hack Gorgeous;2021-05-20T16:06:36;2021-05-21T09:49:39;Credit;Polarised e-markets Rustic;75171;bifurcated Chicken Digitized
3;optical engineer;Brooks;Spring Computers;2021-05-20T23:59:15;2021-05-21T07:36:14;utilize;Self-enabling didactic Outdoors;46727;Plastic
4;needs-based Island;Quality deposit;Bedfordshire Digitized;2021-05-21T08:16:18;2021-05-21T06:46:37;Chief SAS connecting;Grass-roots;50384;Clothing Wooden port
5;wireless background architect;Uruguay next-generation Practical;azure;2021-05-21T02:27:42;2021-05-20T18:36:19;Generic;Regional e-business;44565;Tools
6;Account;Sleek;Singapore;2021-05-20T16:11:01;2021-05-20T17:11:19;Extended transmitting bypassing;Mauritius;66854;Rwanda payment Borders
7;Operations;indexing withdrawal;Niger Ariary payment;2021-05-21T01:25:48;2021-05-20T23:51:09;Distributed;Lights;86566;Ball
8;Product Ergonomic Checking;salmon Azerbaijan virtual;Denar matrix Rustic;2021-05-21T06:43:56;2021-05-20T16:55:06;programming Car Reverse-engineered;Integrated impactful Automotive;62028;Junction Technician Down-sized
9;Manor program Synergistic;9(E.U.A.-9) leverage e-commerce;Corners;2021-05-20T15:26:27;2021-05-20T11:20:31;Optimized protocol Engineer;maroon Rustic web-enabled;11400;Frozen
10;withdrawal;Associate Officer;card;2021-05-20T17:26:07;2021-05-20T15:42:11;Concrete Zambia;Rubber Borders;32777;payment bus
